id,0
timestamp,0
full_sq,0
life_sq,6383
floor,167
max_floor,9572
material,9572
build_year,13605
num_room,9572
kitch_sq,9572
state,13559
product_type,0
sub_area,0
area_m,0
raion_popul,0
green_zone_part,0
indust_part,0
children_preschool,0
preschool_quota,6688
preschool_education_centers_raion,0
children_school,0
school_quota,6685
school_education_centers_raion,0
school_education_centers_top_20_raion,0
hospital_beds_raion,14441
healthcare_centers_raion,0
university_top_20_raion,0
sport_objects_raion,0
additional_education_raion,0
culture_objects_top_25,0
culture_objects_top_25_raion,0
shopping_centers_raion,0
office_raion,0
thermal_power_plant_raion,0
incineration_raion,0
oil_chemistry_raion,0
radiation_raion,0
railroad_terminal_raion,0
big_market_raion,0
nuclear_reactor_raion,0
detention_facility_raion,0
full_all,0
male_f,0
female_f,0
young_all,0
young_male,0
young_female,0
work_all,0
work_male,0
work_female,0
ekder_all,0
ekder_male,0
ekder_female,0
0_6_all,0
0_6_male,0
0_6_female,0
7_14_all,0
7_14_male,0
7_14_female,0
0_17_all,0
0_17_male,0
0_17_female,0
16_29_all,0
16_29_male,0
16_29_female,0
0_13_all,0
0_13_male,0
0_13_female,0
raion_build_count_with_material_info,4991
build_count_block,4991
build_count_wood,4991
build_count_frame,4991
build_count_brick,4991
build_count_monolith,4991
build_count_panel,4991
build_count_foam,4991
build_count_slag,4991
build_count_mix,4991
raion_build_count_with_builddate_info,4991
build_count_before_1920,4991
build_count_1921-1945,4991
build_count_1946-1970,4991
build_count_1971-1995,4991
build_count_after_1995,4991
ID_metro,0
metro_min_avto,0
metro_km_avto,0
metro_min_walk,25
metro_km_walk,25
kindergarten_km,0
school_km,0
park_km,0
green_zone_km,0
industrial_km,0
water_treatment_km,0
cemetery_km,0
incineration_km,0
railroad_station_walk_km,25
railroad_station_walk_min,25
ID_railroad_station_walk,25
railroad_station_avto_km,0
railroad_station_avto_min,0
ID_railroad_station_avto,0
public_transport_station_km,0
public_transport_station_min_walk,0
water_km,0
water_1line,0
mkad_km,0
ttk_km,0
sadovoe_km,0
bulvar_ring_km,0
kremlin_km,0
big_road1_km,0
ID_big_road1,0
big_road1_1line,0
big_road2_km,0
ID_big_road2,0
railroad_km,0
railroad_1line,0
zd_vokzaly_avto_km,0
ID_railroad_terminal,0
bus_terminal_avto_km,0
ID_bus_terminal,0
oil_chemistry_km,0
nuclear_reactor_km,0
radiation_km,0
power_transmission_line_km,0
thermal_power_plant_km,0
ts_km,0
big_market_km,0
market_shop_km,0
fitness_km,0
swim_pool_km,0
ice_rink_km,0
stadium_km,0
basketball_km,0
hospice_morgue_km,0
detention_facility_km,0
public_healthcare_km,0
university_km,0
workplaces_km,0
shopping_centers_km,0
office_km,0
additional_education_km,0
preschool_km,0
big_church_km,0
church_synagogue_km,0
mosque_km,0
theater_km,0
museum_km,0
exhibition_km,0
catering_km,0
ecology,0
green_part_500,0
prom_part_500,0
office_count_500,0
office_sqm_500,0
trc_count_500,0
trc_sqm_500,0
cafe_count_500,0
cafe_sum_500_min_price_avg,13281
cafe_sum_500_max_price_avg,13281
cafe_avg_price_500,13281
cafe_count_500_na_price,0
cafe_count_500_price_500,0
cafe_count_500_price_1000,0
